GSRN,Turbine_short_name,Turbine_name,Turbine_type,Parent_GSRN,In_service,Out_service,BBR_municipal,Placement,UTM_x,UTM_y,UTM_precision,Capacity_kw,Model,Manufacturer,Rotor_diameter,Navhub_height,Fullload_amount,Fullload_quota,Fullload_datetime,Actor_short_name,Actor_name,Valid_to,Valid_from
571313174116253585,791-74116253585,"Frederiksborgvej 399, 4000",W,,1816-03-29 05:56:08.067000+00:00,,265,LAND,694932.0,6175477.0,10.0,850.0,44708048,44707106,52.0,44.0,,,,NEEY-E,NEAS Energy A/S,2016-01-01 00:00:00,2015-03-31 23:00:00
570714700000106958,791-154-31960,Forskningscenter Risø,W,,2004-07-13 00:00:00+00:00,,265,LAND,694694.0,6175432.0,10.0,225.0,44707243,44707106,27.0,32.2,0.0,0.0,,MAKDK-E,Markedskraft Danmark A/S,2003-12-31 23:59:59,1971-01-01 00:00:00
570714700000004575,791-15449927,Forskningscenter Risø,W,,1992-09-01 00:00:00+00:00,,265,LAND,694665.0,6175505.0,10.0,500.0,44707805,44707113,41.0,37.0,5607650.0,7500000.0,2003-10-11 06:00:00+00:00,ENDKWP-E,"Energinet.dk, Marked vind prod.",2015-08-31 23:00:00,2010-12-01 00:00:00
570714700000004605,791-37-11490,Klaus Hartmann Nielsen,W,,1999-08-10 00:00:00+00:00,,265,LAND,697337.0,6174352.0,10.0,660.0,44707246,44707106,47.0,45.0,2064940.0,7920000.0,2005-12-26 20:00:00+00:00,ENDKWP-E,"Energinet.dk, Marked vind prod.",2009-08-31 22:59:59,2009-08-10 23:00:00
570714700000004568,791-37-9796,Kongemarkens Vindmølle,W,,1988-09-05 00:00:00+00:00,,265,LAND,689965.0,6171195.0,10.0,180.0,44707772,44707094,23.0,30.0,3051930.0,4500000.0,2009-10-15 13:00:00+00:00,ENDKWP-E,"Energinet.dk, Marked vind prod.",2009-11-30 23:59:59,2009-10-15 12:00:00
570714700000005213,740-26723,Darupvej,W,,1996-06-01 00:00:00+00:00,,265,LAND,693240.77,6167869.07,2.0,600.0,44707358,44707106,44.0,44.0,5006263.0,7200000.0,2003-07-23 08:00:00+00:00,ENDKAT-E,"Energinet.dk prio.prod, øst",2006-01-01 00:00:00,2003-01-01 00:00:00
570714700000004810,791-45-7244,Jens Frellsen Trællerupgård,W,,1990-12-21 00:00:00+00:00,,350,LAND,686396.0,6172018.0,10.0,150.0,44707325,44707113,24.6,32.5,2944655.0,3750000.0,2004-06-25 02:00:00+00:00,ENDKAT-E,"Energinet.dk prio.prod, øst",2004-06-25 01:00:00,2004-03-01 00:00:00
570714700000004964,791-72-8854,Ole Olsen,W,,1985-10-02 00:00:00+00:00,,240,LAND,702955.0,6182374.0,10.0,55.0,44707896,44707106,15.0,22.0,1865416.0,1375000.0,2000-01-01 00:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2019-11-01 00:00:00
570714700000004513,791-33-8118,Flemming Jensen,W,,1996-06-18 00:00:00+00:00,,265,LAND,694942.0,6163921.0,10.0,550.0,44707906,44707113,37.0,33.0,3696739.0,8250000.0,,ENDKAT-E,"Energinet.dk prio.prod, øst",2002-12-31 23:59:59,1996-06-01 00:00:00
570715000000107078,791-107078,IKEA,W,,2011-03-24 00:00:00+00:00,,169,LAND,706543.0,6173326.0,10.0,850.0,44707716,44707106,52.0,54.0,0.0,18700000.0,,EDK-E,Energi Danmark A/S,9999-01-01 00:00:00,2011-03-01 00:00:00
